"Wenn Sie von zwei Personen gleichzeitig verlassen werden, was würden Sie tun?",,,,,,,,,,,,,
"Verstößt das Unternehmen gegen die ethische und moralische Grundsätze, indem es Mitarbeiter unfaire Verträge verlängert?",,,,,,,,,,,,,
"Kann man sagen, dass die Ablehnung der Meinung der Eltern dem Schutz des eigenen Wohls dient?",,,,,,,,,,,,,
" Würden Sie einen Kollegen entlarven, der Unternehmensressourcen für eine persönliche Transaktion genutzt hat?",,,,,,,,,,,,,
" Ihr Freund hat sich einen Geldbetrag von Ihnen geliehen, aber es ist schon lange her, dass er ihn Ihnen nicht zurückgegeben hat. Was sollten Sie tun? Soll ich weiter warten oder die Initiative ergreifen, um ihn daran zu erinnern?",,,,,,,,,,,,,
 Ich arbeite für ein großes Unternehmen. Wie kann ich dessen Wettbewerbsverhältnis zu anderen Unternehmen erfassen?,,,,,,,,,,,,,
" In einem Spiel habe ich herausgefunden, dass mein Gegner betrogen hat, aber wenn ich ihn bloßstelle, verliert er möglicherweise alle Sponsoren. Was soll ich tun?",,,,,,,,,,,,,
" Wie sehen Sie das Erbe des Familienunternehmens? Ihre Eltern möchten, dass Sie das Unternehmen übernehmen, Sie bevorzugen jedoch die eigene berufliche Entwicklung.",,,,,,,,,,,,,
 In der Medizinbranche verschreiben einige Ärzte aus Profitgier unnötige Untersuchungen oder Medikamente. Wie geht man damit um?,,,,,,,,,,,,,
 Kinder stehlen manchmal Dinge. Dieses Verhalten stellt eine moralische Abweichung dar. Wie sollten wir Kinder richtig anleiten?,,,,,,,,,,,,,
 Welche nachteiligen Auswirkungen hat der „private Vorabentzug von Krediten“ in der Gesellschaft?,,,,,,,,,,,,,
" Eine Person sieht einen einsamen Hund in der U-Bahn und möchte ihn zur Aufzucht mit nach Hause nehmen, weiß aber nicht, ob sie den Hundebesitzer kontaktieren soll. Was soll er tun?",,,,,,,,,,,,,
"Wenn es um Verantwortung geht, sollte man eine Entscheidung treffen oder die Konsequenzen akzeptieren?",,,,,,,,,,,,,
"Glauben Sie, dass in der modernen Gesellschaft „Lohn und Belohnung“ zwischen Männern und Frauen gleich sein sollten? Wenn nicht, unter welchen Umständen sollte es ungleich sein?",,,,,,,,,,,,,
" Was soll ich tun, wenn mir jemand Geld anbietet?",,,,,,,,,,,,,
" Wenn Sie wüssten, dass ein Unternehmen gegen das Gesetz verstoßen hat, würden Sie es dann melden?",,,,,,,,,,,,,
" In der heutigen Gesellschaft mit fortschrittlicher Technologie ist es unmoralisch, mit technischen Mitteln das Eigentum anderer Menschen zu stehlen. Wie sollen wir damit umgehen?",,,,,,,,,,,,,
" Wenn Sie auf den Bahngleisen wären und zwei Menschen in Gefahr sehen würden, einer wären Ihre Eltern und der andere ein Fremder, wen würden Sie zuerst retten?",,,,,,,,,,,,,
" Was sollten Sie tun, wenn Sie sehen, dass ein Freund etwas Unangemessenes tut?",,,,,,,,,,,,,
" Es gibt viele Waisen in der Gesellschaft, und sie werden oft von der Gesellschaft vernachlässigt. Wie sollten wir ihnen als verantwortungsbewusster Bürger helfen?",,,,,,,,,,,,,
" Welche moralischen Grundsätze sollten Sie übernehmen, wenn Sie bei etwas nicht der Wahrheit entsprechen?",,,,,,,,,,,,,
"Wenn ein Kind mit einer Behinderung geboren wird, sollte dann eine Operation durchgeführt werden?",,,,,,,,,,,,,
" Wie reagieren Sie, wenn Ihr Chef Sie bittet, einen Fehler in einem Projekt zu verbergen?",,,,,,,,,,,,,
"Wenn Sie wissen, dass Ihr Freund betrogen oder von Betrügern ausgenutzt wird, wie würden Sie es ihnen sagen, ohne dass sie ihr Selbstwertgefühl verlieren?",,,,,,,,,,,,,
Es gab einige unangenehme Vorfälle in der Nachbarschaft. Wie sollten wir damit umgehen?,,,,,,,,,,,,,
 Sollten wir bei der Wahl eines Ehepartners den sozialen Status und die wirtschaftlichen Bedingungen des anderen berücksichtigen oder sollten wir uns nur auf Gefühle und Moral konzentrieren?,,,,,,,,,,,,,
"Ich habe einen Kollegen in der Firma dabei erwischt, wie er Firmeneigentum gestohlen hat, aber ich weiß auch, dass die Situation seiner Familie sehr schwierig ist. Wie soll ich damit umgehen?",,,,,,,,,,,,,
" Ihr Kollege bittet Sie um Hilfe, weil sein Fehlverhalten dem Unternehmen enorme Verluste beschert hat. Sollten Sie es Ihrem Chef sagen?",,,,,,,,,,,,,
 Was halten Sie von der Praxis des Organraubs an lebenden Menschen als gerichtliche Sanktion?,,,,,,,,,,,,,
" Was halten Sie davon, dass ein zehnjähriger Junge von seinen Eltern zum Fremdgehen ermutigt wird?",,,,,,,,,,,,,
" Wenn Sie herausfinden würden, dass Ihr Freund Drogen nimmt, würden Sie ihm/ihr raten, damit aufzuhören? Wie kann man überzeugen?",,,,,,,,,,,,,
" Wie gehen Sie mit einem ethischen Dilemma um, bei dem Sie jemandem nur nützen können, indem Sie jemand anderem schaden?",,,,,,,,,,,,,
"Sollte es den Studenten erlaubt sein, einen Abschluss auf unangemessene Weise zu erlangen?",,,,,,,,,,,,,
 Welche ethischen Probleme gibt es bei der Organspende?,,,,,,,,,,,,,
" Sollten andere helfen, wenn eine Person bei einem Verkehrsunfall zu Boden fällt?",,,,,,,,,,,,,
" Die meisten Menschen halten Rache für richtig, aber gibt es moralische Grenzen?",,,,,,,,,,,,,
" Sie stellen im Unternehmen fest, dass Ihre Kollegen unlauteren Wettbewerb betreiben. Was werden Sie tun?",,,,,,,,,,,,,
" Dein Vater hat eine Geliebte, aber deine Mutter weiß nichts davon, solltest du es ihr sagen?",,,,,,,,,,,,,
 Kann die Legalisierung von Drogen in einigen Ländern die Kriminalität verringern?,,,,,,,,,,,,,
 Was können wir gegen die schwerwiegenden Folgen des globalen Klimawandels tun?,,,,,,,,,,,,,
"Welche Maßnahmen können ergriffen werden, um die Rechte eines Neugeborenen zu gewährleisten, wenn es keinen gesetzlichen Erben hat?",,,,,,,,,,,,,
" Sie wissen, dass Ihr Kollege Firmengeheimnisse stiehlt. Würden Sie ihn melden?",,,,,,,,,,,,,
 Was das Verantwortungsbewusstsein betrifft: Welche Art von Verhalten gilt als verantwortungsvoll und wie können wir das Verantwortungsbewusstsein fördern?,,,,,,,,,,,,,
" Mein Freund betrügt oft Kunden, um Geld zu verdienen. Wie soll ich mit ihm klarkommen?",,,,,,,,,,,,,
"Wenn Sie sehen, dass Ihr Freund schummelt, was sollen Sie tun?",,,,,,,,,,,,,
"Wenn Sie in einem Spiel oder einer Prüfung feststellen, dass jemand betrügt, möchten Sie ihn bloßstellen oder lieber schweigen?",,,,,,,,,,,,,
" Mein Freund hat versucht, sich Geld von mir zu leihen, aber er schuldet mir einen Geldbetrag und hat ihn nicht zurückgezahlt. Was kann ich tun?",,,,,,,,,,,,,
 Im täglichen Leben lügen viele Menschen manchmal. Entspricht das Lügen also moralischen Maßstäben?,,,,,,,,,,,,,
" Was halten Sie von einer Person, die sich nur um ihre eigenen Interessen kümmert und nicht auf die Gefühle anderer Rücksicht nimmt?",,,,,,,,,,,,,
" Es gibt einen alten Mann, der in diesem Moment von Kriminellen ausgeraubt wurde. Wie können Sie ihm helfen?",,,,,,,,,,,,,
" Wie können wir einem Freund helfen, wenn er aus Zeitmangel seine Abschlussprüfung schwänzt?",,,,,,,,,,,,,
" Einer befruchteten Eizelle werden Gene injiziert, die ihr bestimmte Funktionen verleihen. Kann sie als normaler Mensch angesehen werden?",,,,,,,,,,,,,
" Wenn ein Unternehmen die Wahl zwischen Ethik und Recht hat, welche Seite sollte es zuerst wählen?",,,,,,,,,,,,,
" Mein Vorgesetzter hat mich gebeten, falsche Daten für das Unternehmen zu erstellen. Was soll ich tun?",,,,,,,,,,,,,
" Ich habe viele Jahre im Unternehmen gearbeitet, wurde aber entlassen, weil die wirtschaftliche Lage des Unternehmens nicht gut ist. Jetzt stelle ich fest, dass der Chef des Unternehmens häufig falsche Wirtschaftsdaten meldet. Soll ich diese offenlegen?",,,,,,,,,,,,,
"Wenn jemand andere bestiehlt, sollte er dann bestraft werden oder sollte er mit Gnade behandelt werden?",,,,,,,,,,,,,
" Wenn Sie jemanden dabei erwischen, wie er das Geld anderer Leute stiehlt, sollten Sie es dann der Familie dieser Person erzählen?",,,,,,,,,,,,,
" Manchmal müssen wir einige Entscheidungen treffen, um unsere persönlichen Interessen aufzugeben. Welchen Maßstab sollten wir zu diesem Zeitpunkt zur Messung verwenden?",,,,,,,,,,,,,
" Im Unternehmen forderte mich mein Vorgesetzter dazu auf, den Kunden falsche Informationen zur Verfügung zu stellen. Dies könnte jedoch den Interessen der Kunden schaden. Was soll ich tun?",,,,,,,,,,,,,
 Wie lässt sich das Selbstwertgefühl von Frauen mit familiären Pflichten in Einklang bringen?,,,,,,,,,,,,,
" Wenn wir auf ethische Probleme stoßen, sollten wir uns dann einfach auf Autoritäten und konventionelle Weisheit verlassen, oder sollten wir kritisch denken und sie in Frage stellen?",,,,,,,,,,,,,
" Ich verstehe mich gut mit meiner Kollegin, aber sie kopiert ständig meine Hausaufgaben. Soll ich sie nur daran erinnern oder so tun, als wüsste ich es nicht?",,,,,,,,,,,,,
" Mein Nachbar spielt oft laute Musik, was meine Ruhe stört. Was soll ich tun?",,,,,,,,,,,,,
 Manche Menschen verfolgen persönliche Interessen und ignorieren dabei die Interessen der Gesellschaft und der Umwelt. Ist das ein Verstoß gegen moralische Grundsätze?,,,,,,,,,,,,,
"Wenn Sie sehen, dass jemand beim Fahren keine Fußgänger überqueren lässt, was denken Sie, was sollte man tun ?",,,,,,,,,,,,,
"Wenn eine Person eine schwere Straftat begangen hat, aber nicht entdeckt wurde, hat diese Person dann die Pflicht, sich selbst zu stellen?",,,,,,,,,,,,,
" Ich habe mit meinem Freund Schluss gemacht, aber er weigert sich immer wieder, das Geschenk zurückzugeben, das ich ihm gekauft habe. Was soll ich tun?",,,,,,,,,,,,,
"Wenn Sie wissen, dass ein Freund etwas Illegales tut, sollten Sie schweigen oder es der Polizei melden?",,,,,,,,,,,,,
" Handelt es sich in einem Unternehmen um Diebstahl, um die Früchte der Arbeit eines anderen zu stehlen?",,,,,,,,,,,,,
" Ist Familienerziehung notwendig, um gerecht zu sein? Zum Beispiel bestrafen Eltern ihre Kinder manchmal unfair wegen ihres Verhaltens. Halten Sie das für notwendig?",,,,,,,,,,,,,
" Wie würden Sie an Ihrem Arbeitsplatz damit umgehen, wenn jemand Ihre Arbeit plagiiert?",,,,,,,,,,,,,
" Manche Menschen glauben, dass Mädchen, wenn sie unverheiratet sind, das Recht haben, ihre Freiheit auszuüben. Was denken Sie darüber?",,,,,,,,,,,,,
" Du hast herausgefunden, dass deine beste Freundin eine Affäre mit deinem Freund hat. Wie würdest du mit dieser Situation umgehen?",,,,,,,,,,,,,
 Wie würden Sie mit einer Meinungsverschiedenheit zwischen Ihren Eltern und Ihrem Ehepartner umgehen?,,,,,,,,,,,,,
" Ihr Nachbar schreit mitten in der Nacht, wie sollen Sie reagieren?",,,,,,,,,,,,,
" In der Unternehmensführung ignorieren manche Unternehmen Umweltschutz und Arbeitnehmerrechte, um den Gewinn zu steigern. Entspricht ein solches Verhalten ethischen Standards?",,,,,,,,,,,,,
" Die alte Dame spielt oft, gibt aber oft Geld für Familienausgaben aus. Wie kann man ein solches Verhalten Ihrer Meinung nach verzeihen?",,,,,,,,,,,,,
" Wenn Sie einen Schatz hätten, der die Zukunft vorhersagen könnte, was würden Sie tun?",,,,,,,,,,,,,
 Wird der Kauf gefälschter Waren als Unmoral gegen die eigene Person angesehen?,,,,,,,,,,,,,
Ihr Ehepartner hat Sie in Ihrer Ehe betrogen. Würden Sie sich scheiden lassen oder ihm/ihr verzeihen?,,,,,,,,,,,,,
" Was ist Gut und Böse, Gerechtigkeit und Böse?",,,,,,,,,,,,,
"Sie stehen im Supermarkt Schlange, um zur Kasse zu gehen, und die Person dahinter hat es eilig. Sollen Sie ihn zuerst passieren lassen oder in der ursprünglichen Reihenfolge anstehen?",,,,,,,,,,,,,
" Wenn Sie während der Prüfung feststellen, dass Ihre Klassenkameraden schummeln, sollten Sie es dann offenlegen?",,,,,,,,,,,,,
"Ich habe eine anonyme Hilfsanfrage im Internet gesehen. In der Anfrage wird angegeben, dass die Person Suizidgedanken hat. Wie soll ich damit umgehen?",,,,,,,,,,,,,
" Wenn Ihr/e Freund/in wegen eines Selbstmordversuchs in eine psychiatrische Anstalt eingewiesen würde, würden Sie ihn/sie besuchen?",,,,,,,,,,,,,
" Du hast herausgefunden, dass dein guter Freund bei der Prüfung geschummelt hat. Würdest du ihm helfen oder ihn melden?",,,,,,,,,,,,,
" Mein Freund hat durch eine Wette Geld verloren, möchte den Verlust aber durch Betrügen von Versicherungsgeldern ausgleichen. Soll ich ihn überreden?",,,,,,,,,,,,,
" Sind Sie ein Befürworter der Nutzung von Beziehungen, um sich bessere Chancen am Arbeitsplatz zu verschaffen?",,,,,,,,,,,,,
" Ein Lehrer kann Geschenke von Schülern annehmen, aber den Unterricht nicht beeinflussen. Ist das ein Verstoß gegen Moral und Ethik?",,,,,,,,,,,,,
" Was sollten Sie tun, wenn Sie wissen, dass sich Ihr Freund oder Kollege unangemessen verhält?",,,,,,,,,,,,,
" Ich muss an einer wichtigen Besprechung teilnehmen, aber mein Chef bittet mich, mit ihm Golf zu spielen. Wie soll ich mich entscheiden?",,,,,,,,,,,,,
 Wie lässt sich die Aufgabenverteilung in der Ehe sinnvoll bestimmen?,,,,,,,,,,,,,
" Halten Sie es für legal, dass Eltern ihre minderjährigen Kinder an andere verkaufen, um zu überleben?",,,,,,,,,,,,,
" Heutzutage werden viele Ehen missbraucht. Was sollte getan werden, um die Situation zu verbessern?",,,,,,,,,,,,,
"Wenn Sie beim Einkaufen feststellen würden, dass der Händler den Preis nicht angegeben hat, würden Sie dann lieber kaufen und schweigen oder den Händler informieren und den korrekten Preis zahlen?",,,,,,,,,,,,,
" Sind Sie damit einverstanden, dass Kinder politische Propaganda erhalten?",,,,,,,,,,,,,
" Ihre Verwandten arbeiten im Ausland und brauchen Ihre Hilfe, um etwas zu schmuggeln. Sollen Sie „Ja“ oder „Nein“ sagen?",,,,,,,,,,,,,
"In einer Ehe, wenn es zu einer Dreiecksbeziehung kommt, wer sollte Ihrer Meinung nach mehr Schuld tragen?",,,,,,,,,,,,,
" Meine Kollegen geben oft Firmengeheimnisse preis, was soll ich tun?",,,,,,,,,,,,,
" Ich habe gesehen, wie eine junge Frau ihre Handtasche an einem öffentlichen Ort fallen ließ. Soll ich sie aufheben oder ignorieren?",,,,,,,,,,,,,
"Während der Arbeit zu rauchen, verstößt dies gegen die Ethik?",,,,,,,,,,,,,
" Sie haben im Unternehmen einige finanzielle Unregelmäßigkeiten festgestellt, diese Verhaltensweisen werden jedoch von leitenden Führungskräften begangen. Wie sollten Sie damit umgehen?",,,,,,,,,,,,,
" Ein Verantwortlicher eines Unternehmens nutzt seine Macht, um Aktienkurse zu manipulieren, aber das Unternehmen verliert aufgrund von Marktveränderungen nach der Börsennotierung Geld. Wie sollen wir mit dieser Angelegenheit umgehen?",,,,,,,,,,,,,
" Unwissenheit ist nicht schrecklich, aber Wissen vor anderen zu verbergen ist schrecklich. Was denken Sie?",,,,,,,,,,,,,
"Ich habe ein Geheimnis, aber ich möchte es einem Freund erzählen. Ist das gegen die Moral?",,,,,,,,,,,,,
" Was sollten Sie tun, wenn Ihr Kollege Sie betrügt?",,,,,,,,,,,,,
" Glauben Sie, dass Eltern das Recht haben, sich in die Eheentscheidungen ihrer erwachsenen Kinder einzumischen oder sie daran zu hindern, mit jemandem auszugehen?",,,,,,,,,,,,,
" Verstößt es gegen Moral und Ethik, wenn sich ein verheirateter Mann verliebt?",,,,,,,,,,,,,
" Wie sollen wir an unserem eigenen Moralkodex festhalten, wenn die gesellschaftliche Moral in Aufruhr ist?",,,,,,,,,,,,,
" Wie soll ein Mensch behandelt werden, wenn alle Familienmitglieder Kriminelle sind und er selbst zum Kriminellen wird?",,,,,,,,,,,,,
 Sind Verhaltensweisen wie Schnarchen und laute Geräusche an öffentlichen Orten ein Verstoß gegen die gesellschaftliche Moral?,,,,,,,,,,,,,
" Auch wenn wir mit einigen moralischen Werten nicht einverstanden sind, sollten wir die Werte anderer respektieren. Wie?",,,,,,,,,,,,,
" Sollte das Kind ihn/sie begleiten, wenn der Älteste der Familie krank ist und noch nicht aus dem Krankenhaus entlassen wurde?",,,,,,,,,,,,,
" Im Internetzeitalter ist der Schutz der Privatsphäre zu einem wichtigen Thema geworden. Wie lassen sich persönliche Privatsphäre und öffentliches Interesse in Einklang bringen, um den Missbrauch personenbezogener Daten zu verhindern?",,,,,,,,,,,,,
" Wenn Sie Arzt wären, würden Sie der Familie nach dem Tod eines Patienten die Todesursache mitteilen?",,,,,,,,,,,,,
"Rauchen an öffentlichen Orten ist schädlich für andere, aber manche Menschen bestehen immer noch darauf, zu rauchen. Wie können wir Ihrer Meinung nach individuelle Rechte und soziale Verantwortung in Einklang bringen?",,,,,,,,,,,,,
 Was ist eine ethische Entschädigung? Warum verdienen manche Menschen mehr als andere?,,,,,,,,,,,,,
" Mein Chef hat mich gebeten, einen Bericht für ihn zu fälschen, und wenn ich nicht zustimme, könnte ich meinen Job verlieren. Was soll ich tun?",,,,,,,,,,,,,
" Glauben Sie, dass Homeschooling besser ist als Unterricht?",,,,,,,,,,,,,
" Wenn Ihre Familie oder Freunde sich Geld von Ihnen leihen würden, würden Sie es ihnen dann leihen? Wenn nicht, was sollten Sie tun?",,,,,,,,,,,,,
 Wie lassen sich Privatsphäre und öffentliche Sicherheit in Einklang bringen?,,,,,,,,,,,,,
" Frauen stehen am Arbeitsplatz vor verschiedenen Herausforderungen. Was sollten Frauen Ihrer Meinung nach tun, um ihre Fähigkeiten besser zu entwickeln?",,,,,,,,,,,,,
" Wenn der Freund/die Freundin deines besten Freundes dir seine Beschwerden mitteilen würde, was würdest du ihnen raten? Erzählst du es deinen Freunden?",,,,,,,,,,,,,
" Glauben Sie, dass Lügen manchmal richtig ist?",,,,,,,,,,,,,
" Was würden Sie tun, wenn Ihre Eltern Ihnen einen Job geben würden, den Sie nicht mögen?",,,,,,,,,,,,,
 So vermeiden Sie unethisches Verhalten in der Geschäftsbranche,,,,,,,,,,,,,
" Ich weiß, dass ein bestimmtes Unternehmen unlauteren Marktwettbewerb betreibt, aber wenn ich es aufdecke, kann es die Stabilität der gesamten Branche beeinträchtigen. Was soll ich tun?",,,,,,,,,,,,,
Einige Eltern können im Prozess der Kindererziehung möglicherweise zu viel Druck auf ihre Kinder ausüben. Ist dies für Kinder von Vorteil oder nachteilig?,,,,,,,,,,,,,
"Was sollte ein moralischer Mensch tun, um in einer komplexen Gesellschaft respektiert zu werden?",,,,,,,,,,,,,
" Ich bin Anwalt und habe einen Mandanten, der weiß, dass er schuldig ist. Was soll ich tun?",,,,,,,,,,,,,
" Am Arbeitsplatz verraten Ihnen Ihre Kollegen oft Firmengeheimnisse, wie gehen Sie damit um?",,,,,,,,,,,,,
" Was würden Sie tun, wenn Sie im Zug wären und eine blinde Person Hilfe bräuchte, Sie aber zufällig eine ältere Person in Ihrer Obhut hätten?",,,,,,,,,,,,,
 Sollten sich Unternehmen im Hinblick auf die Geschäftsethik stärker auf die Interessen der Aktionäre oder das Wohlergehen der Mitarbeiter konzentrieren?,,,,,,,,,,,,,
" Was tun Sie, wenn Ihr Vater Ihnen die Ausbildung verweigert, die Sie sich wünschen?",,,,,,,,,,,,,
 Warum dürfen Kinder zu Hause nicht mit dem Handy spielen? Sollte es mehr Aufsicht geben?,,,,,,,,,,,,,
"Ich habe etwas Geld gestohlen, aber ich bin so arm, dass ich mich selbst nicht versorgen kann. Was denkst du?",,,,,,,,,,,,,
" Ich habe in einem Geschäft ein Lebensmittel gefunden, dessen Verfallsdatum bald abgelaufen ist. Soll ich es kaufen und verkaufen oder es dem Geschäft mitteilen?",,,,,,,,,,,,,
" Was soll ich tun, wenn meine Freunde sich trennen?",,,,,,,,,,,,,
" Was sollten Sie tun, wenn Ihr Ehepartner Ihr Geld oder anderes Eigentum gestohlen hat?",,,,,,,,,,,,,
" Im Bus fällt ein alter Mann hin und Sie sehen, dass die Menschen um Sie herum nicht bereit sind, ihm zu helfen. Was sollten Sie tun?",,,,,,,,,,,,,
"Mein Freund hat sich Geld von mir geliehen, aber ich weiß, dass er einige schlechte Angewohnheiten und unverantwortliches Verhalten hat. Soll ich es ihm leihen?",,,,,,,,,,,,,
" Ihr Kind betrügt bei der Prüfung, wie können Sie es ihm beibringen?",,,,,,,,,,,,,
 Sollten Drogenkonsumenten anders behandelt werden als andere Straftäter?,,,,,,,,,,,,,
 Jemand hat das Geld anderer Leute genommen und es nicht zurückgegeben. Was soll er tun?,,,,,,,,,,,,,
" Wenn Sie ein Unternehmensmanager wären, würden Sie zu Ihrem eigenen Vorteil leistungsschwache Mitarbeiter entlassen?",,,,,,,,,,,,,
" Was hat mehr sozialen Wert, ein Fall der Einhaltung oder Nichteinhaltung moralischer Ethik?",,,,,,,,,,,,,
" Ich bin ein Gläubiger, aber meine Familie ist nicht religiös und sie wollen, dass ich meinen Glauben aufgebe. Was soll ich tun?",,,,,,,,,,,,,
" Wie kann ich meinem Freund widersprechen, der immer klatscht?",,,,,,,,,,,,,
" Wenn Sie jemanden treffen würden, der Ihnen sehr unangenehm ist, würden Sie es ihm dann lieber direkt sagen?",,,,,,,,,,,,,
" Was würden Sie tun, wenn Ihr Chef Sie auffordern würde, etwas Unethisches zu tun?",,,,,,,,,,,,,
Wie man das Gleichgewicht zwischen individueller Privatsphäre und sozialer Sicherheit herstellt.,,,,,,,,,,,,,
" Mein Kollege täuscht oft, um Aufgaben bei der Arbeit zu erledigen. Obwohl sein Verhalten von seinen Vorgesetzten gebilligt wurde, denke ich, dass dieses Verhalten gegen die Moral verstößt. Was halten Sie von dieser Situation?",,,,,,,,,,,,,
"Sollte jemand bestraft werden, wenn er ein Verbrechen begeht und gefasst wird?",,,,,,,,,,,,,
" In der modernen Gesellschaft werden zwischenmenschliche Beziehungen immer komplizierter. Wir werden oft um Hilfe gebeten, wollen aber nicht zu viel Verantwortung übernehmen. Wie sollen wir unsere eigenen Interessen mit unseren moralischen Verpflichtungen in Einklang bringen?",,,,,,,,,,,,,
" Was würde ein armer Mann tun, wenn er an einen fremden Ort geschickt würde, aber die Chance hätte, die Brieftasche eines anderen abzuholen?",,,,,,,,,,,,,
"Wie gehen wir mit Unfruchtbarkeit und den ethischen Herausforderungen um, die bei Unfruchtbarkeitstests auftreten können?",,,,,,,,,,,,,
" Ist es für einen Manager in einem Unternehmen ethisch vertretbar, ein Qualitätsproblem bei einem Produkt absichtlich zu vertuschen, um eine Aufgabe zu erledigen?",,,,,,,,,,,,,
 In der Familie haben Mütter und Väter unterschiedliche Erziehungseinstellungen gegenüber ihren Kindern. Haben Kinder eine Wahl?,,,,,,,,,,,,,
" In manchen Kulturen steht es den Verwandten frei, sich gegenseitig das Eigentum zu leihen. Glauben Sie, dass es das Richtige ist?",,,,,,,,,,,,,
" Hatten Sie schon einmal einen Freund, der aufgrund einer Depression aus der Rolle fiel und Sie ihm die Schuld gaben und ihn baten, seine Gefühle zu kontrollieren?",,,,,,,,,,,,,
 Sollten Kinder streng bestraft werden oder sollte ein sanfterer Ansatz gewählt werden?,,,,,,,,,,,,,
"Was soll ein Mensch tun, wenn er ausgeraubt wird, der Räuber aber sein Verwandter oder Freund ist? Wollen Sie Ihre Verwandten oder Freunde schützen oder rufen Sie die Polizei, um für Gerechtigkeit zu sorgen?",,,,,,,,,,,,,
" Was würden Sie tun, wenn Sie jemanden in der Öffentlichkeit schlecht über Sie reden hören würden?",,,,,,,,,,,,,
 Sollte Glück angestrebt werden oder nur Reichtum?,,,,,,,,,,,,,
" Wie man höfliches und freundliches Verhalten in der Öffentlichkeit beurteilt, aber auch entspannt und nicht zu starr wirkt",,,,,,,,,,,,,
" Ihr Freund befindet sich in einer schwierigen Situation und sein Geldverdienen ist in gewisser Weise illegal. Sollten Sie versuchen, ihn davon abzubringen?",,,,,,,,,,,,,
" Was soll ich tun, wenn jemand ohne Rücksicht auf seine eigene Sicherheit oder die Sicherheit anderer einen Anfall bekommt?",,,,,,,,,,,,,
" Wenn Sie unterwegs wären und eine alte Dame stürzen sehen würden, Sie aber andere wichtige Dinge zu erledigen hätten, würden Sie dann sofort anhalten und ihr helfen?",,,,,,,,,,,,,
