" Что бы вы сделали, если бы вас бросили два человека одновременно?",,,,,,,,,,,,,
Продлевает ли предприятие необоснованные контракты со своими сотрудниками? Нарушает ли такое поведение этику?,,,,,,,,,,,,,
"Можно ли сказать, что отвергать советы родителей — значит защищать свое собственное благополучие?",,,,,,,,,,,,,
" Вы бы разоблачили своего коллегу, который использовал ресурсы компании для личной выгоды?",,,,,,,,,,,,,
" Ваш друг занял у вас деньги, но уже давно не возвращает их вам, что делать?",,,,,,,,,,,,,
" Я работаю в крупной компании, как я могу понять ее конкурентные отношения с другими компаниями?",,,,,,,,,,,,,
" В игре я обнаружил, что мой оппонент жульничает, но если я его разоблачу, он может потерять всех спонсоров, что мне делать?",,,,,,,,,,,,,
" Как вы относитесь к наследованию семейного бизнеса?Ваши родители хотят, чтобы вы взяли на себя управление бизнесом, но вы предпочитаете собственный карьерный рост.",,,,,,,,,,,,,
" В медицинской отрасли некоторые врачи ради наживы прописывают ненужные обследования или лекарства, как с этим быть?",,,,,,,,,,,,,
"Дети иногда воруют вещи, такое поведение является моральным отклонением, как мы должны правильно воспитывать детей?",,,,,,,,,,,,,
Каковы негативные последствия “частного досрочного отзыва кредитов” в обществе?,,,,,,,,,,,,,
"Человек увидел одинокую собаку в метро и захотел забрать ее домой, чтобы вырастить, но он не знал, следует ли ему найти владельца собаки. Что ему делать?",,,,,,,,,,,,,
"Сталкиваясь с ответственностью, должен ли я сделать выбор или мне следует принять результат?",,,,,,,,,,,,,
"Считаете ли вы, что в современном обществе «зарплата и выплаты» между мужчинами и женщинами должны быть равными? Если нет, то при каких обстоятельствах оно должно быть неравным?",,,,,,,,,,,,,
" Что делать, если кто-то предлагает мне деньги?",,,,,,,,,,,,,
" Если бы вы знали, что компания нарушила закон, вы бы решили сообщить об этом?",,,,,,,,,,,,,
"В современном обществе с развитой наукой и технологиями неэтично, чтобы кто-то крал чужую собственность техническими средствами. Что следует делать?",,,,,,,,,,,,,
" Если бы вы были на железнодорожных путях и увидели двух человек в опасности, один из которых был вашим родителем, а другой был незнакомцем, кого бы вы спасли в первую очередь?",,,,,,,,,,,,,
" Что делать, если вы видите, что друг делает что-то неподобающее?",,,,,,,,,,,,,
" В обществе много сирот, и общество ча",,,,,,,,,,,,,
"Когда вы в чем-то не верны, какие моральные принципы вам следует использовать?",,,,,,,,,,,,,
"Если ребенок рождается с определенной инвалидностью, следует ли ему или ей делать операцию?",,,,,,,,,,,,,
" Как вы реагируете, когда ваш начальник просит вас скрыть недостаток проекта?",,,,,,,,,,,,,
" Если вы знаете, что вашего друга обманывают или используются мошенники, как вы можете сказать ему об этом, не травмируя при этом его самооценку?",,,,,,,,,,,,,
По соседству с общиной происходят некоторые неприятные вещи. Что мы должны с этим делать?,,,,,,,,,,,,,
" Должны ли мы при выборе супруга учитывать социальный статус и экономические условия другой стороны, или мы должны ориентироваться только на чувства и нравы?",,,,,,,,,,,,,
"Я обнаружил, что коллега в компании ворует имущество компании, но я также знаю, что положение его семьи очень тяжелое, как мне быть с этим?",,,,,,,,,,,,,
"Ваш коллега обратился к вам за помощью, потому что из-за его неправильной работы компания понесла огромные убытки.Стоит ли вам рассказать об этом своему боссу?",,,,,,,,,,,,,
 Что вы думаете о практике извлечения органов у живых людей в качестве судебной санкции?,,,,,,,,,,,,,
" Как вы относитесь к десятилетнему мальчику, которого родители поощряют списывать?",,,,,,,,,,,,,
"Если бы вы узнали, что ваш друг употребляет наркотики, посоветовали бы вы ему/ей бросить? Как уговорить его/ее сделать это?",,,,,,,,,,,,,
" Как вы справляетесь с этической дилеммой, когда вы можете принести кому-то пользу, только причинив кому-то вред?",,,,,,,,,,,,,
 Следует ли разрешать студентам получать дипломы ненадлежащим образом?,,,,,,,,,,,,,
 Каковы этические проблемы донорства органов?,,,,,,,,,,,,,
"Когда человек попадает в аварию на дороге и падает на землю, должны ли другие протянуть ему руку помощи?",,,,,,,,,,,,,
"Большинство людей считают, что месть - это правильно, но существуют ли какие-либо моральные ограничения?",,,,,,,,,,,,,
"Если бы в компании вы обнаружили, что ваши коллеги ведут себя неподобающим образом в условиях конкуренции, что бы вы сделали?",,,,,,,,,,,,,
" У твоего отца есть любовница, но твоя мать об этом не знает, ты должен ей сказать?",,,,,,,,,,,,,
 Может ли легализация наркотиков в некоторых странах снизить преступность?,,,,,,,,,,,,,
 Что нам делать с серьезными последствиями глобального изменения климата?,,,,,,,,,,,,,
"Когда у новорожденного нет законного наследника, какие меры можно предпринять для обеспечения его прав?",,,,,,,,,,,,,
"Вы знаете, что ваш коллега ворует секреты компании, вы сообщите о нем?",,,,,,,,,,,,,
" Что касается чувства ответственности, какое поведение считается ответственным и как мы должны стимулировать чувство ответственности?",,,,,,,,,,,,,
" Мой друг часто обманывает клиентов, чтобы заработать деньги, как мне продолжать с ним лади",,,,,,,,,,,,,
"Что вам следует делать, когда вы видите, что друг изменяет вам?",,,,,,,,,,,,,
"В игре или на экзамене вы обнаружите, что кто-то жульничает, вы решите разоблачить его или промолчать?",,,,,,,,,,,,,
" Мой друг пытался занять у меня деньги, но он должен мне определенную сумму денег и не вернул ее. что мне делать?",,,,,,,,,,,,,
"В повседневной жизни многие люди иногда лгут, так соответствует ли акт лжи этическим нормам?",,,,,,,,,,,,,
" Что вы думаете о человеке, который заботится только о своих интересах и не считается с чувствами других?",,,,,,,,,,,,,
"Есть старик, которого ограбил преступник. Как вы можете ему помочь в этот момент?",,,,,,,,,,,,,
" Как мы можем помочь другу, если он пропускает выпускной экзамен из-за нехватки времени?",,,,,,,,,,,,,
" В оплодотворенную яйцеклетку вводят гены, придающие ей особые функции, можно ли ее считать нормальным человеком?",,,,,,,,,,,,,
" Когда у бизнеса есть выбор между этикой и законом, какую сторону ему следует поставить на первое место?",,,,,,,,,,,,,
" Мой руководитель попросил меня создать ложные данные для компании, что мне делать?",,,,,,,,,,,,,
"Я проработал в компании много лет, но меня уволили из-за плохой экономической ситуации в компании. Теперь я обнаружил, что руководитель компании часто искажает экономические данные. Должен ли я раскрывать их?",,,,,,,,,,,,,
"Когда человек крадет чужие вещи, следует ли его наказывать или к нему следует относиться милосердно?",,,,,,,,,,,,,
"Если вы узнаете, что кто-то украл деньги других людей, должны ли вы сообщить об этом семье этого человека?",,,,,,,,,,,,,
"Иногда нам нужно принимать какие-то решения, которые противоречат нашим личным интересам. Какой стандарт мы должны соблюдать в данный момент?",,,,,,,,,,,,,
"В компании мое начальство попросило меня предоставлять ложную информацию клиентам, но это может нанести ущерб интересам клиентов. Что я должен делать?",,,,,,,,,,,,,
 Как сбалансировать женскую самооценку и семейные обязанности?,,,,,,,,,,,,,
"Когда мы сталкиваемся с моральными проблемами, должны ли мы просто подчиняться авторитетам и традиционным концепциям или нам следует мыслить критически и бросать им вызов?",,,,,,,,,,,,,
"Я хорошо лажу со своей коллегой, но она всегда переписывает мое домашнее задание. Должен ли я сказать ей напрямую или притвориться, что не знаю?",,,,,,,,,,,,,
" У соседа часто играет громкая музыка, которая мешает мне отдыхать, что делать?",,,,,,,,,,,,,
" Преследуя личные интересы, некоторые люди игнорируют интересы общества и окружающей среды, является ли это нарушением моральных принципов?",,,,,,,,,,,,,
" Как вы думаете, что нужно делать, если вы видите, что кто-то ведет машину и мешает пешеходам перейти дорогу?",,,,,,,,,,,,,
"Если человек совершает серьезное преступление и остается незамеченным, обязан ли он сдаться?",,,,,,,,,,,,,
" Я рассталась со своим парнем, но он отказывается вернуть подарок, который я ему купила, что мне делать?",,,,,,,,,,,,,
" Когда вы знаете, что друг делает что-то незаконное, следует ли вам промолчать или сообщить об этом в полицию?",,,,,,,,,,,,,
Считается ли в компании воровством отнимать результат труда других людей?,,,,,,,,,,,,,
"Необходимо ли, чтобы семейное воспитание было справедливым?Например, родители иногда несправедливо наказывают своих детей из-за их успеваемости. Считаете ли вы, что это необходимо?",,,,,,,,,,,,,
"Что бы вы сделали на вашем рабочем месте, если бы кто-то воспользовался результатами вашей работы как своим?",,,,,,,,,,,,,
"Некоторые люди думают, что девушки имеют право пользоваться своей свободой, когда они не состоят в браке. Что вы думаете по этому поводу?",,,,,,,,,,,,,
" Вы узнали, что у вашей лучшей подруги роман с вашим парнем, как бы вы поступили в этой ситуации?",,,,,,,,,,,,,
 Как бы вы справились с разногласиями между родителями и супругом?,,,,,,,,,,,,,
" Ваш сосед кричит посреди ночи, как вы должны реагировать?",,,,,,,,,,,,,
 В управлении бизнесом некоторые компании игнорируют защиту окружающей среды и права сотрудников ради увеличения прибыли.Соответствует ли такое поведение этическим нормам?,,,,,,,,,,,,,
"Пожилая леди часто играет в азартные игры, но она также часто берет на себя семейные расходы. Как вы думаете, следует ли прощать такое поведение?",,,,,,,,,,,,,
" Если бы у вас было сокровище, которое может предсказывать будущее, что бы вы сделали?",,,,,,,,,,,,,
 Считается ли покупка поддельных товаров безнравственностью по отношению к себе?,,,,,,,,,,,,,
"Ваш супруг изменил вам в браке, вы бы решили развестись или простить его/ее?",,,,,,,,,,,,,
"Что такое добро и зло, справедливость и порочность?",,,,,,,,,,,,,
"Вы стоите в очереди в супермаркете, чтобы оплатить покупку, а человек, стоящий сзади, спешит. Должны ли вы пропустить его первым или нет?",,,,,,,,,,,,,
"Во время экзамена я обнаружил, что одноклассники вокруг меня списывали. Должен ли я сказать об этом?",,,,,,,,,,,,,
"Я увидел анонимное сообщение о помощи в Интернете, в котором говорилось, что человек хотел покончить с собой. Что мне делать?",,,,,,,,,,,,,
"Если бы вашего друга отправили в психиатрическую больницу за попытку самоубийства, навестили бы вы его/ее?",,,,,,,,,,,,,
"Вы узнали, что ваш хороший друг списал на экзамене, поможете ли вы ему или донесете на него?",,,,,,,,,,,,,
"Мой друг проиграл деньги из-за пари, но хотел компенсировать проигрыш, обманув страховую компанию. Должен ли я его переубедить?",,,,,,,,,,,,,
Поддерживаете ли вы на рабочем месте использование отношений для получения лучших карьерных возможностей?,,,,,,,,,,,,,
"Учитель может принимать подарки от учеников, но это не может влиять на преподавание. Нарушает ли это этику?",,,,,,,,,,,,,
" Что делать, если вы знаете, что ваш друг или коллега ведет себя неподобающим образом?",,,,,,,,,,,,,
" Мне предстоит важная встреча, но мой начальник просит меня сыграть с ним в гольф. Как мне выбрать?",,,,,,,,,,,,,
Как можно разумно определить распределение обязанностей в браке?,,,,,,,,,,,,,
"Чтобы выжить, родители продают своих несовершеннолетних детей другим людям. Считаете ли вы такое поведение законным?",,,,,,,,,,,,,
"Сейчас многие подвергаются жестокому обращению в браке. Что я должен сделать, чтобы улучшить эту ситуацию?",,,,,,,,,,,,,
"Если вы обнаружите, что продавец указал неправильную цену во время покупки, предпочтете ли вы купить и промолчать или скажете продавцу и заплатите правильную цену?",,,,,,,,,,,,,
" Вы согласны с тем, что дети получают политическую пропаганду?",,,,,,,,,,,,,
"Ваши родственники работают за границей, и им нужна ваша помощь, чтобы переправить кое-какие вещи контрабандой. Должны ли вы согласиться или отказаться?",,,,,,,,,,,,,
"Если в браке человека есть третья сторона, как вы думаете, кого следует винить больше?",,,,,,,,,,,,,
"Мои коллеги часто разглашают секреты компании, что мне делать?",,,,,,,,,,,,,
" Я видел, как молодая женщина уронила свою сумочку в общественном месте, мне ее поднять или проигнорировать?",,,,,,,,,,,,,
 Курение на работе неэтично?,,,,,,,,,,,,,
"В компании вы обнаружили некоторое ненормальная финансовая активность, но эта активность осуществляется высшими руководителями. Что вам следует делать?",,,,,,,,,,,,,
"Лицо, ответственное за компанию, использует свои полномочия для манипулирования ценами на акции, но компания теряет деньги из-за изменений на рынке после того, как они становится публичными. Как справиться с этим вопросом?",,,,,,,,,,,,,
Невежество - это не страшно. Страшно скрывать знания от других. Что вы думаете?,,,,,,,,,,,,,
"У меня есть секрет, но я хочу рассказать своим друзьям, разве это противоречит этике?",,,,,,,,,,,,,
"Когда ваш коллега обманул вас, как вы должны с этим бороться?",,,,,,,,,,,,,
" Как вы думаете, имеют ли родители право вмешиваться в брачный выбор своих взрослых детей или запрещать им встречаться с кем-то?",,,,,,,,,,,,,
"Разве это противоречит этике, когда женатый мужчина влюбляется?",,,,,,,,,,,,,
" Как мы должны придерживаться собственного морального кодекса, когда социальная мораль находится в смятении?",,,,,,,,,,,,,
" Как относиться к человеку, если все члены его семьи преступники, а он сам становится преступником?",,,,,,,,,,,,,
"Нарушает ли такое поведение, как храп и громкие звуки в общественных местах, общественную мораль?",,,,,,,,,,,,,
"Даже если мы не согласны с какой-то моралью, мы должны уважать ценности других. Что нам делать?",,,,,,,,,,,,,
"Когда пожилой член семьи заболевает и его не выписывают из больницы, должен ли ребенок сопровождать его/ее?",,,,,,,,,,,,,
" В эпоху Интернета защита конфиденциальности стала важным вопросом. Как сбалансировать личную конфиденциальность и общественные интересы, чтобы предотвратить неправомерное использование личной информации?",,,,,,,,,,,,,
"Если бы вы были врачом, раскрыли бы вы причину смерти пациента семье после его смерти?",,,,,,,,,,,,,
"Курение в общественных местах может причинить вред другим, но некоторые люди все еще настаивают на курении. Как, по-вашему, мы можем сбалансировать личные права и социальную ответственность?",,,,,,,,,,,,,
" Что такое этическая компенсация? Почему некоторым людям платят больше, чем другим?",,,,,,,,,,,,,
" Мой начальник попросил меня сфальсифицировать отчет для него, и если я не соглашусь, я могу потерять работу, что мне делать?",,,,,,,,,,,,,
" Считаете ли вы, что домашнее обучение лучше, чем школа?",,,,,,,,,,,,,
"Если бы ваша семья или друзья заняли у вас деньги, предпочли бы вы одолжить их им?Что вам следует делать, если вы не хотите их одалживать?",,,,,,,,,,,,,
Как сбалансировать личную неприкосновенность и общественную безопасность?,,,,,,,,,,,,,
"Женщины сталкиваются с различными проблемами на рабочем месте. Как вы думаете, что должны делать женщины, чтобы лучше использовать свои способности?",,,,,,,,,,,,,
"Если мужчина / девушка вашей подруги поделятся с вами своим недовольством, что бы вы им посоветовали?Вы рассказали бы об этом своим друзьям?",,,,,,,,,,,,,
" Как вы думаете, ложь иногда оправдана?",,,,,,,,,,,,,
" Что бы вы сделали, если бы ваши родители отправили вас на работу, которая вам не нравилась?",,,,,,,,,,,,,
 Как избежать неэтичного поведения в бизнес-индустрии,,,,,,,,,,,,,
"Я знаю, что определенная компания участвует в недобросовестной рыночной конкуренции, но если я разоблачу ее, это может повлиять на стабильность всей отрасли. Что мне делать?",,,,,,,,,,,,,
 Некоторые родители могут оказывать слишком большое давление на своих детей в процессе их воспитания.Хорошо это или плохо для детей?,,,,,,,,,,,,,
"Что должен делать нравственный человек, чтобы его уважали в сложном обществе?",,,,,,,,,,,,,
"Я юрист, но я встретил клиента, который знал, что он виновен. Что мне делать?",,,,,,,,,,,,,
На рабочем месте ваши коллеги часто раскрывают вам секреты компании. Что вам следует делать?,,,,,,,,,,,,,
"Если бы вы встретили в поезде слепого человека, который нуждался в помощи, но рядом с вами оказался пожилой человек, нуждающийся в уходе, что бы вы сделали?",,,,,,,,,,,,,
" Что касается деловой этики, следует ли компаниям уделять больше внимания интересам акционеров или благополучию сотрудников?",,,,,,,,,,,,,
"Что вам следует делать, когда ваш отец отказывается позволить вам получить желаемое образование?",,,,,,,,,,,,,
Почему детям нельзя играть с мобильными телефонами дома и следует ли усилить надзор?,,,,,,,,,,,,,
"Я украл немного денег, но я слишком беден, чтобы содержать себя. Что вы думаете?",,,,,,,,,,,,,
"Я нашел в торговом центре продукты, срок годности которых вот-вот истечет. Должен ли я купить их и продать или сообщить продавцу?",,,,,,,,,,,,,
" Что мне делать, когда мои друзья расстаются?",,,,,,,,,,,,,
" Что делать, если ваш супруг украл ваши деньги или другое имущество?",,,,,,,,,,,,,
"В автобусе упал пожилой мужчина. Вы видели, что окружающие вас люди не желали ему помогать. Что вам следует делать?",,,,,,,,,,,,,
"Мой друг хочет знять у меня деньги, но я знаю, что у него есть некоторые вредные привычки и безответственное поведение. Должен ли я одолжить ему деньги?",,,,,,,,,,,,,
"Ваш ребенок списал на экзамене, как вы его воспитываете?",,,,,,,,,,,,,
"Следует ли относиться к наркоманам иначе, чем к другим правонарушителям?",,,,,,,,,,,,,
Некоторые люди взяли чужие деньги и не вернули их. Что он должен делать?,,,,,,,,,,,,,
"Если вы являетесь менеджером компании, будете ли вы увольнять неэффективных сотрудников ради собственной выгоды?",,,,,,,,,,,,,
Какой из случаев соблюдения или несоблюдения морально-этических норм имеет большую социальную ценность?,,,,,,,,,,,,,
" Я верующий, но моя семья нерелигиозна, и они хотят, чтобы я отказался от своей веры, что мне делать?",,,,,,,,,,,,,
"Мой друг всегда любит сплетничать, как я могу ему противостоять?",,,,,,,,,,,,,
"Если бы вы встретили кого-то, кто заставил вас чувствовать себя некомфортно, решили бы вы сказать ему об этом напрямую?",,,,,,,,,,,,,
" Что бы вы сделали, если бы ваш босс попросил вас сделать что-то неэтичное?",,,,,,,,,,,,,
Как сбалансировать отношения между личной неприкосновенностью и социальным обеспечением,,,,,,,,,,,,,
"Мой коллега часто использует обман для выполнения задач на работе. Хотя его поведение было признано его начальником, я думаю, что такое поведение противоречит этике. Что вы думаете об этой ситуации?",,,,,,,,,,,,,
"Когда человек совершает преступление и его ловят, должен ли он быть наказан?",,,,,,,,,,,,,
"В современном обществе межличностные отношения становятся все более сложными, и люди часто обращаются к нам за помощью, но мы не хотим брать на себя слишком большую ответственность.Как мы должны соотносить наши собственные интересы с нашими моральными обязательствами?",,,,,,,,,,,,,
"Если бы бедняка отправили в незнакомое место, но у него была возможность забрать чужой кошелек, что бы он сделал?",,,,,,,,,,,,,
"Как мы сталкиваемся с бесплодием и этическими проблемами, которые могут возникнуть при тестировании на бесплодие?",,,,,,,,,,,,,
"В компании менеджер намеренно скрывает качество продукта, чтобы выполнить поставленную задачу. Является ли это этической проблемой?",,,,,,,,,,,,,
В семье матери и отцы по-разному относятся к воспитанию своих детей. Есть ли у детей какой-либо выбор?,,,,,,,,,,,,,
"В некоторых культурах родственники могут свободно одалживать собственность друг друга.Как вы думаете, правильно ли это делать?",,,,,,,,,,,,,
"Знали ли вы когда-нибудь друга, который стал ненормальным из-за депрессии? Стали бы вы обвинять его и просить контролировать свои эмоции?",,,,,,,,,,,,,
 Следует ли строго наказывать детей или следует применять более мягкий подход?,,,,,,,,,,,,,
"Если человека ограбили, но грабитель - его родственник или друг, что он должен делать?Выбираете ли вы защищать своих родственников или друзей или вызываете полицию, чтобы отстоять справедливость?",,,,,,,,,,,,,
" Что бы вы сделали, если бы услышали, что кто-то плохо отзывается о вас на публике?",,,,,,,,,,,,,
Должны ли мы стремиться к счастью или нам следует стремиться только к богатству?,,,,,,,,,,,,,
" Как оценить вежливое и дружелюбное поведение на публике, но при этом расслабиться и не казаться слишком жестким",,,,,,,,,,,,,
Ваш друг находится в трудной ситуации. Его способ зарабатывания денег немного незаконен. Стоит ли вам его отговаривать?,,,,,,,,,,,,,
" Что делать, если кто-то закатывает истерику, не заботясь о своей безопасности или безопасности других?",,,,,,,,,,,,,
"Если бы вы увидели, что пожилая женщина упала на дороге, но у вас были другие важные дела, вы бы немедленно остановились и помогли ей?",,,,,,,,,,,,,
" Что делать, если ваш друг делает что-то, что вы считаете неправильным?",,,,,,,,,,,,,
" Как вы реагируете, когда вас оскорбляют публично?",,,,,,,,,,,,,
"Если бы вы увидели, что пожилая женщина упала на дороге, но у вас были другие важные дела, вы бы немедленно остановились и помогли ей?",,,,,,,,,,,,,
"Ваш друг по какой-то причине нарушил закон, должны ли вы ему помочь?",,,,,,,,,,,,,
"Если я обнаружу, что мой коллега нарушил закон на работе, должен ли я сообщить об этом своему начальству или промолчать?",,,,,,,,,,,,,
"У моих родителей слабоумие, я должен давать им больше любви и заботы, но мне нужно заботиться о своей карьере и семье, как сбалансировать эти отношения",,,,,,,,,,,,,
"Кто-то занял у меня определенную сумму денег, но много времени прошло и до сих пор не возвратили. Что мне делать?Если я буду взыскивать долги напрямую, будут ли считать меня недобрым человеком?",,,,,,,,,,,,,
Мои коллеги всегда копируют результаты моей работы и относятся к ним как к своим собственным. Что мне делать?,,,,,,,,,,,,,
" Что бы вы сделали, если бы ваш начальник попросил вас принять неэтичное решение на благо компании?",,,,,,,,,,,,,
"Мои друзья хотят использовать мое положение в компании, чтобы обеспечить им удобства. Я не знаю, должен ли я им помогать, потому что это может нарушать правила компании, но я не хочу причинять вред своим друзьям. Что я должен делать?",,,,,,,,,,,,,
" Когда две стороны расходятся во мнениях, как мы можем учитывать интересы друг друга и принимать этические решения?",,,,,,,,,,,,,
"Сяо Ли и Сяо Ван оба влюблены в одного и того же человека, но этому человеку нравится только Сяо Ван, но Сяо Ли отказывается отпускать его. Как поступить?",,,,,,,,,,,,,
"Мои соседи всегда ссорятся, и когда я слышу это, я всегда притворяюсь, что не слышу, но я думаю, что как сосед, я должен вмешаться. Что вы думаете?",,,,,,,,,,,,,
"Что делать жене, если она узнает, что у ее мужа есть посторонняя любовница?",,,,,,,,,,,,,
 Должна ли компания принимать суровое наказание за нелояльного сотрудника?,,,,,,,,,,,,,
 Какое влияние религия оказывает на общество?,,,,,,,,,,,,,
Следует ли популяризировать донорство органов?Может ли донорство органов осуществляться в обязательном порядке?,,,,,,,,,,,,,
 Как понять определение любви? Должны ли мы соблюдать нормы общества или придерживаться собственных принципов?,,,,,,,,,,,,,
"Когда бедная семья может выбрать, отправить своих детей в школу или отправить их попрошайничать, какой выбор они должны сделать?",,,,,,,,,,,,,
